withdraw,2025-12-13T15:31:38.512493800,30.0,-65.0
withdraw,2025-12-13T15:33:42.626350600,30.0,-130.0
withdraw,2025-12-13T16:40:39.661752200,30.0,-65.0
withdraw,2025-12-13T16:40:39.691543500,30.0,-130.0
withdraw,2025-12-13T16:40:52.350135600,30.0,-65.0
withdraw,2025-12-13T16:40:52.380795900,30.0,-130.0
withdraw,2025-12-13T16:49:41.404533500,130.0,-165.0
withdraw,2025-12-13T17:02:05.697869400,30.0,-230.0
withdraw,2025-12-13T17:03:57.454979700,130.0,-165.0
withdraw,2025-12-13T17:03:57.502319600,30.0,-230.0
withdraw,2025-12-13T17:04:14.787939,130.0,-165.0
withdraw,2025-12-13T17:04:14.835114700,30.0,-230.0
withdraw,2025-12-13T17:04:32.412466800,130.0,-165.0
withdraw,2025-12-13T17:04:32.457988600,30.0,-230.0
withdraw,2025-12-13T17:05:16.947907100,130.0,-165.0
withdraw,2025-12-13T17:08:40.400404,30.0,-230.0
withdraw,2025-12-13T17:08:44.826521100,130.0,-165.0
withdraw,2025-12-13T17:08:44.875264200,30.0,-230.0
withdraw,2025-12-13T17:09:06.006955300,30.0,-65.0
withdraw,2025-12-13T17:09:06.035759500,30.0,-130.0
withdraw,2025-12-13T17:09:06.044302800,130.0,-165.0
withdraw,2025-12-13T17:09:12.427418800,30.0,-230.0
withdraw,2025-12-13T17:09:12.469513100,130.0,-165.0
withdraw,2025-12-13T17:12:33.093058100,30.0,-230.0
withdraw,2025-12-13T17:12:33.129953100,130.0,-165.0
withdraw,2025-12-13T17:12:38.968539500,30.0,-230.0
withdraw,2025-12-13T17:12:39.006270300,130.0,-165.0
withdraw,2025-12-13T17:13:05.294273100,30.0,-230.0
withdraw,2025-12-13T17:13:05.332195300,130.0,-165.0
withdraw,2025-12-13T17:13:11.747123600,30.0,-230.0
withdraw,2025-12-13T17:13:11.782578300,130.0,-165.0
withdraw,2025-12-13T17:13:29.889058500,30.0,-230.0
withdraw,2025-12-13T17:13:29.928759300,130.0,-165.0
withdraw,2025-12-13T17:17:22.540939900,30.0,-230.0
withdraw,2025-12-13T17:17:22.578503100,130.0,-165.0
withdraw,2025-12-13T17:17:52.333550200,30.0,-230.0
withdraw,2025-12-13T17:17:52.367820300,130.0,-165.0
withdraw,2025-12-13T17:17:55.889599900,30.0,-230.0
withdraw,2025-12-13T17:17:55.926676500,130.0,-165.0
withdraw,2025-12-13T17:20:02.384059800,30.0,-230.0
withdraw,2025-12-13T17:20:02.419670800,130.0,-165.0
withdraw,2025-12-13T17:21:11.797916800,30.0,-230.0
withdraw,2025-12-13T17:21:34.165845100,30.0,-65.0
withdraw,2025-12-13T17:21:34.195490500,30.0,-130.0
withdraw,2025-12-13T17:21:38.364385,30.0,-65.0
withdraw,2025-12-13T17:21:38.392748400,30.0,-130.0
withdraw,2025-12-13T17:21:42.028360400,30.0,-65.0
withdraw,2025-12-13T17:21:42.060511300,30.0,-130.0
withdraw,2025-12-13T17:21:46.161660400,30.0,-65.0
withdraw,2025-12-13T17:21:46.188567600,30.0,-130.0
